TargetLength,ActualLength,Position,Label,ToxicityScore,Prediction,IsCorrect
200,200,prefix,1,0.9784194231033325,1,1
200,200,middle,1,0.9545355439186096,1,1
200,200,suffix,1,0.9656286239624023,1,1
200,200,clean,0,0.01000160351395607,0,1
600,600,prefix,1,0.8469868898391724,1,1
600,600,middle,1,0.4189939796924591,0,0
600,600,suffix,1,0.5449662208557129,1,1
600,600,clean,0,0.003191516501829028,0,1
1200,1200,prefix,1,0.8469868898391724,1,1
1200,1200,middle,1,0.003191516501829028,0,0
1200,1200,suffix,1,0.5449662208557129,1,1
1200,1200,clean,0,0.003191516501829028,0,1
2000,2000,prefix,1,0.8469868898391724,1,1
2000,2000,middle,1,0.003191516501829028,0,0
2000,2000,suffix,1,0.5449662208557129,1,1
2000,2000,clean,0,0.003191516501829028,0,1
4000,4000,prefix,1,0.8469868898391724,1,1
4000,4000,middle,1,0.003191516501829028,0,0
4000,4000,suffix,1,0.5449662208557129,1,1
4000,4000,clean,0,0.003191516501829028,0,1
